area_level,area_type,area_name_clean,subdistrict_code,town_village_code,ward_code,num_households,total_population_persons,total_workers_persons,non_workers_persons,literate_population_persons
Village,Rural,Mallasandra,5543,613040,0,279,1190,946,244,791
Village,Rural,O.B.Chudahalli,5543,613041,0,319,1255,587,668,894
Village,Rural,Kaggalipura,5543,613042,0,3012,12452,5864,6588,8454
Village,Rural,Uttari,5543,613043,0,356,1452,747,705,867
Village,Rural,Naganayakanahalli,5543,613044,0,176,769,477,292,401
Village,Rural,Nelaguli,5543,613045,0,285,1198,506,692,652
Village,Rural,K. Chudahalli,5543,613046,0,296,1371,737,634,771
Village,Rural,Tharalu,5543,613047,0,555,2810,2039,771,2235
Village,Rural,Gulakamale,5543,613048,0,548,2293,954,1339,1463
Village,Rural,Alakabelalu,5543,613049,0,15,62,32,30,34
Village,Rural,Somanahalli,5543,613050,0,1158,4655,2263,2392,3337
Village,Rural,Nettigere,5543,613051,0,443,1847,839,1008,1092
Village,Rural,Ravugodlu,5543,613052,0,340,1397,684,713,856
Village,Rural,Sunkadakatte,5543,613053,0,110,433,186,247,261
Village,Rural,Thattaguppe,5543,613054,0,591,2503,1024,1479,1832
Village,Rural,Vaddarapalya,5543,613055,0,393,1731,800,931,981
Village,Rural,Doddanagamangala,5543,613056,0,1259,5017,2339,2678,3572
Village,Rural,Vittasandra,5543,613057,0,293,1184,606,578,649
Village,Rural,Mylasandra,5543,613058,0,750,3015,1453,1562,1833
Village,Rural,Hommadevanahalli,5543,613059,0,1171,4777,2303,2474,3419
Village,Rural,Bettadasanapura,5543,613060,0,412,1777,674,1103,1109
Village,Rural,Uttarahalli -Manavarthekaval,5543,613061,0,67,244,107,137,199
Town,Urban,Kumbalagodu (CT),5543,613062,0,2811,10178,4881,5297,7629
Ward,Urban,Kumbalagodu (CT),5543,613062,1,2811,10178,4881,5297,7629
Town,Urban,Konappana Agrahara (CT),5543,613063,0,5929,20622,11548,9074,16102
Ward,Urban,Konappana Agrahara (CT),5543,613063,1,5929,20622,11548,9074,16102
Town,Urban,BBMP (M Corp. + OG) (Part),5543,803162,0,5423,19951,10502,9449,15091
Ward,Urban,Ramasandra (OG),5543,803162,203,1169,5251,1810,3441,3463
Ward,Urban,Doddathoguru (OG),5543,803162,204,4254,14700,8692,6008,11628
Village,Rural,Mittaganahalli,5544,613065,0,266,1010,513,497,403
Village,Rural,Kadusonnappanahalli,5544,613066,0,487,2498,1026,1472,1592
Village,Rural,Doddenahalli,5544,613067,0,0,0,0,0,0
Village,Rural,Yerappanahalli,5544,613068,0,299,1418,600,818,806
Village,Rural,Chikkasandra,5544,613069,0,4,15,12,3,12
Village,Rural,Gundur,5544,613070,0,307,1498,714,784,1036
Village,Rural,Kada Agrahara,5544,613071,0,195,835,436,399,424
Village,Rural,Bandebommasandra,5544,613072,0,199,883,383,500,631
Village,Rural,Anagalapura,5544,613073,0,135,578,240,338,373
Village,Rural,Nadagowdagollahalli,5544,613074,0,139,681,279,402,365
Village,Rural,Vaderahalli,5544,613075,0,0,0,0,0,0
Village,Rural,Rampura,5544,613076,0,598,2680,1128,1552,1752
Village,Rural,Adur,5544,613077,0,219,931,349,582,671
Village,Rural,Huvinane,5544,613078,0,0,0,0,0,0
Village,Rural,Maragondanahalli,5544,613079,0,733,3014,1151,1863,2282
Village,Rural,Halehalli,5544,613080,0,181,882,372,510,523
Village,Rural,Kithiganur,5544,613081,0,872,3920,1443,2477,2755
Village,Rural,Hirandahalli,5544,613082,0,801,3547,1368,2179,2530
Village,Rural,Bidarahalli,5544,613083,0,624,2621,917,1704,1925
Village,Rural,Byappanahalli,5544,613084,0,317,1469,660,809,1019
Village,Rural,Kammasandra,5544,613085,0,78,315,178,137,181
Village,Rural,Vanajanahalli,5544,613086,0,0,0,0,0,0
Village,Rural,Kattugollahalli,5544,613087,0,214,966,397,569,561
Village,Rural,Shringaripura,5544,613088,0,3,15,7,8,13
Village,Rural,Jothipura,5544,613089,0,262,1227,565,662,877
Village,Rural,Thirumenahalli,5544,613090,0,112,555,316,239,390
