area_level,area_type,area_name_clean,subdistrict_code,town_village_code,ward_code,num_households,total_population_persons,total_workers_persons,non_workers_persons,literate_population_persons
Village,Rural,Chudenahalli,5545,613327,0,115,497,216,281,294
Village,Rural,Sunavara,5545,613328,0,262,1133,664,469,684
Village,Rural,Patnagere Gollahalli,5545,613329,0,50,232,105,127,110
Village,Rural,Bidarakadahalli,5545,613330,0,1,5,5,0,2
Village,Rural,Kalanaikanahalli,5545,613331,0,82,342,161,181,189
Village,Rural,Solur,5545,613332,0,102,496,203,293,327
Village,Rural,Menasiganahalli,5545,613333,0,179,868,375,493,528
Village,Rural,Vanakanahalli,5545,613334,0,326,1374,519,855,888
Village,Rural,Singasandra,5545,613335,0,104,434,266,168,292
Village,Rural,Telagarahalli,5545,613336,0,151,756,352,404,489
Village,Rural,Hompalaghatta,5545,613337,0,131,631,343,288,387
Village,Rural,Gudnahalli,5545,613338,0,194,1110,288,822,701
Village,Rural,Chikkanahatti,5545,613339,0,3,15,7,8,9
Village,Rural,Geratiganabele,5545,613340,0,218,1078,499,579,637
Village,Rural,Submangala,5545,613341,0,188,849,434,415,531
Village,Rural,Muthagatti,5545,613342,0,628,2758,1255,1503,1544
Village,Rural,Kurubarahatti,5545,613343,0,8,30,16,14,14
Village,Rural,Haldenahalli,5545,613344,0,342,1456,676,780,990
Village,Rural,Kaval Hosahalli,5545,613345,0,420,1638,914,724,1062
Village,Rural,Chikka Hagade,5545,613346,0,185,866,453,413,561
Village,Rural,Aravantigepura,5545,613347,0,54,247,200,47,144
Village,Rural,Bestammanahalli,5545,613348,0,195,830,467,363,499
Village,Rural,Karpur,5545,613349,0,327,2026,638,1388,1558
Village,Rural,Bidaragere,5545,613350,0,218,1006,513,493,561
Village,Rural,Rachamanahalli,5545,613351,0,176,773,448,325,368
Village,Rural,Channena Agrahara,5545,613352,0,95,458,259,199,230
Village,Rural,Samandur,5545,613353,0,540,2501,1305,1196,1572
Town,Urban,Dommasandra (CT),5545,613354,0,3188,12610,5384,7226,9481
Ward,Urban,Dommasandra (CT),5545,613354,1,3188,12610,5384,7226,9481
Town,Urban,Hebbagodi (CT),5545,613355,0,9623,34827,20240,14587,28258
Ward,Urban,Hebbagodi (CT),5545,613355,1,9623,34827,20240,14587,28258
Town,Urban,Maragondahalli (CT),5545,613356,0,2145,8824,3777,5047,5906
Ward,Urban,Maragondahalli (CT),5545,613356,1,2145,8824,3777,5047,5906
Town,Urban,Bommasandra (CT),5545,613357,0,4334,15254,7993,7261,12104
Ward,Urban,Bommasandra (CT),5545,613357,1,4334,15254,7993,7261,12104
Town,Urban,Sarjapura (CT),5545,613358,0,2680,11807,4456,7351,8441
Ward,Urban,Sarjapura (CT),5545,613358,1,2680,11807,4456,7351,8441
Town,Urban,Attibele (CT),5545,613359,0,5252,20532,8378,12154,15785
Ward,Urban,Attibele (CT),5545,613359,1,5252,20532,8378,12154,15785
Town,Urban,Jigani (CT),5545,613360,0,4437,17036,8557,8479,12859
Ward,Urban,Jigani (CT),5545,613360,1,4437,17036,8557,8479,12859
Town,Urban,Anekal (TMC),5545,803163,0,10322,44260,18125,26135,32268
Ward,Urban,Anekal (TMC),5545,803163,1,227,1091,522,569,860
Ward,Urban,Anekal (TMC),5545,803163,2,414,1795,835,960,1218
Ward,Urban,Anekal (TMC),5545,803163,3,361,1638,633,1005,1277
Ward,Urban,Anekal (TMC),5545,803163,4,715,3094,1143,1951,2366
Ward,Urban,Anekal (TMC),5545,803163,5,502,2187,873,1314,1636
Ward,Urban,Anekal (TMC),5545,803163,6,520,2078,830,1248,1627
Ward,Urban,Anekal (TMC),5545,803163,7,428,1816,585,1231,1429
Ward,Urban,Anekal (TMC),5545,803163,8,659,2761,1200,1561,1960
Ward,Urban,Anekal (TMC),5545,803163,9,759,3027,1262,1765,2111
Ward,Urban,Anekal (TMC),5545,803163,10,329,1393,557,836,1111
Ward,Urban,Anekal (TMC),5545,803163,11,236,1028,363,665,760
Ward,Urban,Anekal (TMC),5545,803163,12,455,1886,756,1130,1380
Ward,Urban,Anekal (TMC),5545,803163,13,473,2068,798,1270,1639
Ward,Urban,Anekal (TMC),5545,803163,14,294,1379,617,762,1024
Ward,Urban,Anekal (TMC),5545,803163,15,305,1269,493,776,1001
Ward,Urban,Anekal (TMC),5545,803163,16,293,1232,548,684,946
Ward,Urban,Anekal (TMC),5545,803163,17,391,1833,816,1017,1171
Ward,Urban,Anekal (TMC),5545,803163,18,401,1822,803,1019,1301
Ward,Urban,Anekal (TMC),5545,803163,19,292,1372,494,878,1003
Ward,Urban,Anekal (TMC),5545,803163,20,541,2229,1095,1134,1390
Ward,Urban,Anekal (TMC),5545,803163,21,634,2602,1004,1598,1982
Ward,Urban,Anekal (TMC),5545,803163,22,409,1764,803,961,1010
Ward,Urban,Anekal (TMC),5545,803163,23,684,2896,1095,1801,2066
Town,Urban,BBMP (M Corp. + OG) (Part),99999,803162,0,2101831,8443675,3692394,4751281,6677194
Town,Urban,BBMP (M Corp.) (Part),99999,803162,0,2101831,8443675,3692394,4751281,6677194
Ward,Urban,BBMP (M Corp.),99999,803162,1,8647,34783,14794,19989,27748
Ward,Urban,BBMP (M Corp.),99999,803162,2,9506,36602,16865,19737,27160
Ward,Urban,BBMP (M Corp.),99999,803162,3,14605,58129,23818,34311,46738
Ward,Urban,BBMP (M Corp.),99999,803162,4,10583,41986,17722,24264,33599
Ward,Urban,BBMP (M Corp.),99999,803162,5,12387,52025,20445,31580,37879
Ward,Urban,BBMP (M Corp.),99999,803162,6,16470,71855,28442,43413,53331
Ward,Urban,BBMP (M Corp.),99999,803162,7,18691,72154,32155,39999,57202
Ward,Urban,BBMP (M Corp.),99999,803162,8,12036,47546,20690,26856,36899
Ward,Urban,BBMP (M Corp.),99999,803162,9,14448,57195,23935,33260,47177
Ward,Urban,BBMP (M Corp.),99999,803162,10,8379,36396,16278,20118,30824
Ward,Urban,BBMP (M Corp.),99999,803162,11,8519,37128,14587,22541,26649
Ward,Urban,BBMP (M Corp.),99999,803162,12,15530,61071,25695,35376,48135
Ward,Urban,BBMP (M Corp.),99999,803162,13,11221,41482,18336,23146,32959
Ward,Urban,BBMP (M Corp.),99999,803162,14,17117,65113,28278,36835,52689
Ward,Urban,BBMP (M Corp.),99999,803162,15,8849,33042,15657,17385,27734
Ward,Urban,BBMP (M Corp.),99999,803162,16,9191,37959,16389,21570,31909
Ward,Urban,BBMP (M Corp.),99999,803162,17,12553,49610,20881,28729,39645
Ward,Urban,BBMP (M Corp.),99999,803162,18,9058,35122,15041,20081,29046
Ward,Urban,BBMP (M Corp.),99999,803162,19,8153,32491,12927,19564,26729
Ward,Urban,BBMP (M Corp.),99999,803162,20,6592,27361,10684,16677,21940
Ward,Urban,BBMP (M Corp.),99999,803162,21,8181,32516,13610,18906,26072
Ward,Urban,BBMP (M Corp.),99999,803162,22,12704,51592,21176,30416,40447
Ward,Urban,BBMP (M Corp.),99999,803162,23,12295,60483,21012,39471,45258
Ward,Urban,BBMP (M Corp.),99999,803162,24,13612,58967,24149,34818,46225
Ward,Urban,BBMP (M Corp.),99999,803162,25,23999,95368,41385,53983,75605
Ward,Urban,BBMP (M Corp.),99999,803162,26,11674,47358,20273,27085,36787
Ward,Urban,BBMP (M Corp.),99999,803162,27,12922,51268,22860,28408,42547
Ward,Urban,BBMP (M Corp.),99999,803162,28,11479,47074,21673,25401,37548
Ward,Urban,BBMP (M Corp.),99999,803162,29,8700,33588,14490,19098,28353
Ward,Urban,BBMP (M Corp.),99999,803162,30,9758,45748,16423,29325,34070
Ward,Urban,BBMP (M Corp.),99999,803162,31,8192,41936,14359,27577,31231
Ward,Urban,BBMP (M Corp.),99999,803162,32,9540,39334,17038,22296,32391
Ward,Urban,BBMP (M Corp.),99999,803162,33,10572,47926,18374,29552,37500
Ward,Urban,BBMP (M Corp.),99999,803162,34,6058,24308,9748,14560,19963
Ward,Urban,BBMP (M Corp.),99999,803162,35,8825,36738,14761,21977,32040
Ward,Urban,BBMP (M Corp.),99999,803162,36,9592,37036,15345,21691,30444
Ward,Urban,BBMP (M Corp.),99999,803162,37,10326,41107,16911,24196,33156
Ward,Urban,BBMP (M Corp.),99999,803162,38,9524,36879,18252,18627,27664
Ward,Urban,BBMP (M Corp.),99999,803162,39,16537,59289,33082,26207,47874
Ward,Urban,BBMP (M Corp.),99999,803162,40,19506,72794,37037,35757,55069
Ward,Urban,BBMP (M Corp.),99999,803162,41,15805,57814,34557,23257,45614
Ward,Urban,BBMP (M Corp.),99999,803162,42,10620,41352,22023,19329,30095
Ward,Urban,BBMP (M Corp.),99999,803162,43,13291,51200,24523,26677,40583
Ward,Urban,BBMP (M Corp.),99999,803162,44,10051,40212,18024,22188,31605
Ward,Urban,BBMP (M Corp.),99999,803162,45,8503,34196,13572,20624,28811
Ward,Urban,BBMP (M Corp.),99999,803162,46,7696,31449,12301,19148,26399
Ward,Urban,BBMP (M Corp.),99999,803162,47,8941,42135,16403,25732,28559
Ward,Urban,BBMP (M Corp.),99999,803162,48,7419,35814,12555,23259,25356
Ward,Urban,BBMP (M Corp.),99999,803162,49,8850,37955,14916,23039,29653
Ward,Urban,BBMP (M Corp.),99999,803162,50,12384,49094,22549,26545,37912
Ward,Urban,BBMP (M Corp.),99999,803162,51,11087,46159,18945,27214,36584
Ward,Urban,BBMP (M Corp.),99999,803162,52,8961,35168,14711,20457,28524
Ward,Urban,BBMP (M Corp.),99999,803162,53,11936,48585,19676,28909,36707
Ward,Urban,BBMP (M Corp.),99999,803162,54,12579,50191,23792,26399,38041
Ward,Urban,BBMP (M Corp.),99999,803162,55,8638,33946,15274,18672,26371
Ward,Urban,BBMP (M Corp.),99999,803162,56,11039,43443,18226,25217,34423
Ward,Urban,BBMP (M Corp.),99999,803162,57,16710,58815,27027,31788,46673
Ward,Urban,BBMP (M Corp.),99999,803162,58,12200,43983,20369,23614,35010
Ward,Urban,BBMP (M Corp.),99999,803162,59,10113,40362,16327,24035,33359
Ward,Urban,BBMP (M Corp.),99999,803162,60,7340,35334,14167,21167,26064
Ward,Urban,BBMP (M Corp.),99999,803162,61,7941,38050,13916,24134,27268
Ward,Urban,BBMP (M Corp.),99999,803162,62,7530,34394,13349,21045,26870
Ward,Urban,BBMP (M Corp.),99999,803162,63,4808,21728,8297,13431,17958
Ward,Urban,BBMP (M Corp.),99999,803162,64,7641,31118,12586,18532,26172
Ward,Urban,BBMP (M Corp.),99999,803162,65,9823,35609,14776,20833,31205
Ward,Urban,BBMP (M Corp.),99999,803162,66,9383,35709,14550,21159,30797
Ward,Urban,BBMP (M Corp.),99999,803162,67,8667,34574,14481,20093,30066
Ward,Urban,BBMP (M Corp.),99999,803162,68,11563,44615,19345,25270,36242
Ward,Urban,BBMP (M Corp.),99999,803162,69,15178,57077,29114,27963,43547
Ward,Urban,BBMP (M Corp.),99999,803162,70,17262,61479,33382,28097,47242
Ward,Urban,BBMP (M Corp.),99999,803162,71,18438,66314,34123,32191,51019
Ward,Urban,BBMP (M Corp.),99999,803162,72,16215,62272,27498,34774,48757
Ward,Urban,BBMP (M Corp.),99999,803162,73,17739,68922,31196,37726,54039
Ward,Urban,BBMP (M Corp.),99999,803162,74,11074,43844,19666,24178,33583
Ward,Urban,BBMP (M Corp.),99999,803162,75,12433,48734,20727,28007,38817
Ward,Urban,BBMP (M Corp.),99999,803162,76,8489,33236,13440,19796,28468
Ward,Urban,BBMP (M Corp.),99999,803162,77,8325,33388,14716,18672,27542
Ward,Urban,BBMP (M Corp.),99999,803162,78,6595,28835,10906,17929,24699
Ward,Urban,BBMP (M Corp.),99999,803162,79,9052,37291,16480,20811,29094
Ward,Urban,BBMP (M Corp.),99999,803162,80,8877,35228,15847,19381,29777
Ward,Urban,BBMP (M Corp.),99999,803162,81,15419,57062,26336,30726,45604
Ward,Urban,BBMP (M Corp.),99999,803162,82,13453,49631,25721,23910,37819
Ward,Urban,BBMP (M Corp.),99999,803162,83,11423,43942,17920,26022,34289
Ward,Urban,BBMP (M Corp.),99999,803162,84,13419,50556,22359,28197,38630
Ward,Urban,BBMP (M Corp.),99999,803162,85,17755,63083,30091,32992,49025
Ward,Urban,BBMP (M Corp.),99999,803162,86,11051,39768,19700,20068,31725
Ward,Urban,BBMP (M Corp.),99999,803162,87,10044,39926,16457,23469,31509
Ward,Urban,BBMP (M Corp.),99999,803162,88,9741,38251,16818,21433,30801
Ward,Urban,BBMP (M Corp.),99999,803162,89,8806,33793,14541,19252,28542
Ward,Urban,BBMP (M Corp.),99999,803162,90,7771,35090,16802,18288,29815
Ward,Urban,BBMP (M Corp.),99999,803162,91,7074,32689,11471,21218,27045
Ward,Urban,BBMP (M Corp.),99999,803162,92,7276,37506,12723,24783,29424
Ward,Urban,BBMP (M Corp.),99999,803162,93,5304,22815,9339,13476,19873
Ward,Urban,BBMP (M Corp.),99999,803162,94,6599,31208,13224,17984,25422
Ward,Urban,BBMP (M Corp.),99999,803162,95,8711,37693,16569,21124,27892
Ward,Urban,BBMP (M Corp.),99999,803162,96,8693,38110,16137,21973,28898
Ward,Urban,BBMP (M Corp.),99999,803162,97,8253,35721,15565,20156,28454
Ward,Urban,BBMP (M Corp.),99999,803162,98,8276,32913,12836,20077,27169
Ward,Urban,BBMP (M Corp.),99999,803162,99,8398,33084,13728,19356,27496
Ward,Urban,BBMP (M Corp.),99999,803162,100,7495,30333,12810,17523,25409
Ward,Urban,BBMP (M Corp.),99999,803162,101,7482,30051,12835,17216,24833
Ward,Urban,BBMP (M Corp.),99999,803162,102,13443,50893,24334,26559,39634
Ward,Urban,BBMP (M Corp.),99999,803162,103,14168,53532,25022,28510,42442
Ward,Urban,BBMP (M Corp.),99999,803162,104,6678,26873,11117,15756,22410
Ward,Urban,BBMP (M Corp.),99999,803162,105,7192,28355,12259,16096,23278
Ward,Urban,BBMP (M Corp.),99999,803162,106,6077,24181,10519,13662,20292
Ward,Urban,BBMP (M Corp.),99999,803162,107,9260,36461,15995,20466,31031
Ward,Urban,BBMP (M Corp.),99999,803162,108,8156,33866,14002,19864,29178
Ward,Urban,BBMP (M Corp.),99999,803162,109,6842,33292,12158,21134,27525
Ward,Urban,BBMP (M Corp.),99999,803162,110,6423,27504,11017,16487,23139
Ward,Urban,BBMP (M Corp.),99999,803162,111,5493,22995,9700,13295,20131
Ward,Urban,BBMP (M Corp.),99999,803162,112,7844,30638,13005,17633,25807
Ward,Urban,BBMP (M Corp.),99999,803162,113,10725,38108,18567,19541,31640
Ward,Urban,BBMP (M Corp.),99999,803162,114,7734,36916,17913,19003,32112
Ward,Urban,BBMP (M Corp.),99999,803162,115,8466,37060,15016,22044,29878
Ward,Urban,BBMP (M Corp.),99999,803162,116,10743,48534,20245,28289,36043
Ward,Urban,BBMP (M Corp.),99999,803162,117,9465,42095,18144,23951,34332
Ward,Urban,BBMP (M Corp.),99999,803162,118,5953,28784,12509,16275,19257
Ward,Urban,BBMP (M Corp.),99999,803162,119,5485,27076,9850,17226,21471
Ward,Urban,BBMP (M Corp.),99999,803162,120,8652,37344,14910,22434,28524
Ward,Urban,BBMP (M Corp.),99999,803162,121,9061,37354,15957,21397,29240
Ward,Urban,BBMP (M Corp.),99999,803162,122,10051,40032,18454,21578,28755
Ward,Urban,BBMP (M Corp.),99999,803162,123,9943,40331,17162,23169,33360
Ward,Urban,BBMP (M Corp.),99999,803162,124,9068,37347,16097,21250,29140
Ward,Urban,BBMP (M Corp.),99999,803162,125,5423,21171,9230,11941,18391
Ward,Urban,BBMP (M Corp.),99999,803162,126,7716,29319,12938,16381,24628
Ward,Urban,BBMP (M Corp.),99999,803162,127,11125,43729,19206,24523,34105
Ward,Urban,BBMP (M Corp.),99999,803162,128,8255,35780,14997,20783,26638
Ward,Urban,BBMP (M Corp.),99999,803162,129,17410,68132,28464,39668,54391
Ward,Urban,BBMP (M Corp.),99999,803162,130,14511,58199,24050,34149,43375
Ward,Urban,BBMP (M Corp.),99999,803162,131,10285,42785,21144,21641,29956
Ward,Urban,BBMP (M Corp.),99999,803162,132,10576,41487,17295,24192,34583
Ward,Urban,BBMP (M Corp.),99999,803162,133,8456,35113,14292,20821,28220
Ward,Urban,BBMP (M Corp.),99999,803162,134,10647,49484,20011,29473,36583
Ward,Urban,BBMP (M Corp.),99999,803162,135,7273,37599,13034,24565,24296
Ward,Urban,BBMP (M Corp.),99999,803162,136,7751,38639,14498,24141,26509
Ward,Urban,BBMP (M Corp.),99999,803162,137,7549,36039,13644,22395,26599
Ward,Urban,BBMP (M Corp.),99999,803162,138,4896,24801,9579,15222,18655
Ward,Urban,BBMP (M Corp.),99999,803162,139,5903,29344,11421,17923,20304
Ward,Urban,BBMP (M Corp.),99999,803162,140,7500,32213,12991,19222,26545
Ward,Urban,BBMP (M Corp.),99999,803162,141,9246,38825,16191,22634,29527
Ward,Urban,BBMP (M Corp.),99999,803162,142,8643,34666,14022,20644,29790
Ward,Urban,BBMP (M Corp.),99999,803162,143,7361,32462,12345,20117,27250
Ward,Urban,BBMP (M Corp.),99999,803162,144,7396,34879,14559,20320,24498
Ward,Urban,BBMP (M Corp.),99999,803162,145,8948,38309,15851,22458,31305
Ward,Urban,BBMP (M Corp.),99999,803162,146,7229,30667,12411,18256,23587
Ward,Urban,BBMP (M Corp.),99999,803162,147,8236,34299,14153,20146,26265
Ward,Urban,BBMP (M Corp.),99999,803162,148,12575,47004,21409,25595,39133
Ward,Urban,BBMP (M Corp.),99999,803162,149,14256,54625,23100,31525,41368
Ward,Urban,BBMP (M Corp.),99999,803162,150,22368,80180,42330,37850,61305
Ward,Urban,BBMP (M Corp.),99999,803162,151,9719,38316,18350,19966,31793
Ward,Urban,BBMP (M Corp.),99999,803162,152,10933,39997,19939,20058,33075
Ward,Urban,BBMP (M Corp.),99999,803162,153,8427,38151,15662,22489,29730
Ward,Urban,BBMP (M Corp.),99999,803162,154,8624,32640,14346,18294,28331
Ward,Urban,BBMP (M Corp.),99999,803162,155,9483,36982,15339,21643,30322
Ward,Urban,BBMP (M Corp.),99999,803162,156,10574,41379,17521,23858,33689
Ward,Urban,BBMP (M Corp.),99999,803162,157,8668,34653,15794,18859,26789
Ward,Urban,BBMP (M Corp.),99999,803162,158,11676,45928,20835,25093,33862
Ward,Urban,BBMP (M Corp.),99999,803162,159,10168,40771,16631,24140,33011
Ward,Urban,BBMP (M Corp.),99999,803162,160,14408,56897,24660,32237,45755
Ward,Urban,BBMP (M Corp.),99999,803162,161,12122,46805,19699,27106,37625
Ward,Urban,BBMP (M Corp.),99999,803162,162,11180,43195,18897,24298,37063
Ward,Urban,BBMP (M Corp.),99999,803162,163,11997,45572,19663,25909,38561
Ward,Urban,BBMP (M Corp.),99999,803162,164,11425,43483,18769,24714,35771
Ward,Urban,BBMP (M Corp.),99999,803162,165,6472,25998,10790,15208,22553
Ward,Urban,BBMP (M Corp.),99999,803162,166,6492,27040,11569,15471,20262
Ward,Urban,BBMP (M Corp.),99999,803162,167,8455,32756,13745,19011,28085
Ward,Urban,BBMP (M Corp.),99999,803162,168,7163,28353,11281,17072,24629
Ward,Urban,BBMP (M Corp.),99999,803162,169,7423,32066,13390,18676,25300
Ward,Urban,BBMP (M Corp.),99999,803162,170,7961,33927,14422,19505,26951
Ward,Urban,BBMP (M Corp.),99999,803162,171,10513,48991,18431,30560,37950
Ward,Urban,BBMP (M Corp.),99999,803162,172,11517,42624,20277,22347,35671
Ward,Urban,BBMP (M Corp.),99999,803162,173,9040,33521,15047,18474,27948
Ward,Urban,BBMP (M Corp.),99999,803162,174,16847,63033,30718,32315,50002
Ward,Urban,BBMP (M Corp.),99999,803162,175,11368,43585,21811,21774,33741
Ward,Urban,BBMP (M Corp.),99999,803162,176,14540,52250,25978,26272,43301
Ward,Urban,BBMP (M Corp.),99999,803162,177,7566,28846,13075,15771,24375
Ward,Urban,BBMP (M Corp.),99999,803162,178,7985,31034,13448,17586,26374
Ward,Urban,BBMP (M Corp.),99999,803162,179,6537,25871,12159,13712,22487
Ward,Urban,BBMP (M Corp.),99999,803162,180,9461,42171,18108,24063,28560
Ward,Urban,BBMP (M Corp.),99999,803162,181,11881,47182,19931,27251,38495
Ward,Urban,BBMP (M Corp.),99999,803162,182,10771,41037,16684,24353,34066
Ward,Urban,BBMP (M Corp.),99999,803162,183,11403,43364,18827,24537,34648
Ward,Urban,BBMP (M Corp.),99999,803162,184,14675,57209,25161,32048,43717
Ward,Urban,BBMP (M Corp.),99999,803162,185,11338,46943,19410,27533,35593
Ward,Urban,BBMP (M Corp.),99999,803162,186,9818,38294,17025,21269,30635
Ward,Urban,BBMP (M Corp.),99999,803162,187,13230,49207,22061,27146,39117
Ward,Urban,BBMP (M Corp.),99999,803162,188,13186,49884,22694,27190,39297
Ward,Urban,BBMP (M Corp.),99999,803162,189,18192,68554,38626,29928,53571
Ward,Urban,BBMP (M Corp.),99999,803162,190,16903,65890,34274,31616,48615
Ward,Urban,BBMP (M Corp.),99999,803162,191,18214,71004,34577,36427,54140
Ward,Urban,BBMP (M Corp.),99999,803162,192,21322,80037,39729,40308,61098
Ward,Urban,BBMP (M Corp.),99999,803162,193,15272,58355,31525,26830,45436
Ward,Urban,BBMP (M Corp.),99999,803162,194,13457,51911,22779,29132,38586
Ward,Urban,BBMP (M Corp.),99999,803162,195,14984,57335,25446,31889,46085
Ward,Urban,BBMP (M Corp.),99999,803162,196,11049,45608,19194,26414,31936
Ward,Urban,BBMP (M Corp.),99999,803162,197,16079,62057,27907,34150,48854
Ward,Urban,BBMP (M Corp.),99999,803162,198,12687,50440,21182,29258,37899
